Car model,Autonomy_WLTP_Km,DC Charging connector,DC charging protocol,DC_nominal_charge_power_KW,year,AC Charging connector,AC_nominal_charging,AC Charging Protocol,Car_type,Approx_Release_price_order_in_K$,Battery_Capacity_kWh,Source
Peugeot Partner,110,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50,2013,0 Type 1 Mono up to 3KW,NA,NA,Van,30,empty,
Porsche Mission E ,500,HPC CCS up to 350 KW,DIN 70121,350,2019,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Sedan,empty,empty,
Porsche Taycan Turbo,450,HPC CCS up to 350 KW,DC ISO IEC 15118-2,270,2019,C Type 2 Tri up to 22W,22,IEC 61851-1,Sedan,100,90,
Renault Fluence ZE,130,None,NA,NA,2016,C Type 2 Tri up to 22W,22,IEC 61851-1,Sedan,empty,empty,
Renault Kangoo ZE,220,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Van,empty,empty,
Renault Twizy,90,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Micro,empty,empty,
Renault ZOE,200,None,NA,NA,2013,C Type 2 Tri up to 22W,22,IEC 61851-1,empty,empty,empty,
Renault ZOE ,130,None,NA,NA,2013,C Type 2 Tri up to 22W,22,IEC 61851-1,empty,empty,empty,
Renault ZOE ZE,400,None,NA,NA,2013,D Type 2 Tri up to 43W,43,IEC 61851-1,hatchback,52,empty,
Renault Megane eVision,450,G High Charging Combo CCS up to 150 KW,DIN 70121,130,2021,C Type 2 Tri up to 22W,22,IEC 61851-1,Hatchback,empty,60,
Renault Twingo ZE,190,None,NA,NA,2020,C Type 2 Tri up to 22W,22,IEC 61851-1,Hatchback,20,21,
Skoda E,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2019,B Type 2 Tri up to 11KW,11,IEC 61851-1,SUV,40,83,
Smart ED Gen1,empty,None,NA,NA,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Micro,empty,empty,
Smart ForTwo,135,None,NA,NA,2018,C Type 2 Tri up to 22W,22,AC ISO IEC 15118,micro,30,18,https:www.automobile_propre.comvoituressmart_electriqueautonomie
Tesla model S,450,None,NA,NA,2016,B Type 2 Tri up to 11KW,11,IEC 61851-1,empty,empty,empty,
Tesla model 3,350,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2017,B Type 2 Tri up to 11KW,11,IEC 61851-1,Sedan,empty,empty,
Tesla model X,450,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50,2015,C Type 2 Tri up to 22W,16.5,IEC 61851-1,SUV,100,90,
Tesla S,450,F CHAdeMO up to 100KW,E CHAdeMO 100KW,60,2013,C Type 2 Tri up to 22W,22,IEC 61851-1,Sedan,80,100,
Volvo XC40,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2019,A Type 2 Mono up to 7KW,3.7,IEC 61851-1,SUV,50,78,
VW ID Buzz,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2022,None,NA,NA,Van,empty,110,
VW e Golf,130,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50,2016,A Type 2 Mono up to 7KW,7,IEC 61851-1,hatchback,empty,empty,
VW e golf 1.1,230,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2017,A Type 2 Mono up to 7KW,7,IEC 61851-1,Sedan,39,32,
VW e UP!,110,E Fast Charging Combo CCS up to 50 KW,DIN 70121,40,2016,A Type 2 Mono up to 7KW,7,IEC 61851-1,hatchback,37,23,
VW ID.3,330,G High Charging Combo CCS up to 150 KW,DIN 70121,100,2020,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,hatchback_,empty,77,
VW ID.4,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2020,B Type 2 Tri up to 11KW,11,IEC 61851-1,SUV,empty,77,
VW ID Crozz2,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150,2019,None,NA,NA,SUV,83,empty,
