Car_model;Autonomy_Km;_DC_Charging_connector;DC_charging_protocol;DC_nominal_charge_power_KW;year;AC_Charging_connector;AC_nominal_charging;AC_Charging_Protocol;Car_type;Approx_Release_price_order_in_K$;Battery_Capacity_kWh;Source
Daimler_EQV;405;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;110;2021;B_Type_2_11KW;11;IEC_61851-1;Van;;90;https://www.automobile-propre.com/voitures/mercedes-eqv/autonomie/
Daimler_EQC;414;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;110;2019;B_Type_2_11KW;11;IEC_61851-1;;;;
VW_ID.3;330;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;100;2020;A_Type_2_7KW;7.2;IEC_61851-1;hatchback_;;77;
Peugeot_e-208;340;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;100;2020;A_Type_2_7KW;7;IEC_61851-1;;;;
Nissan_Leaf_2.0;300;E_CHAdeMO_100KW;E_CHAdeMO_100KW;100;2017;A_Type_2_7KW;6.6;IEC_61851-1;;;;
Infinity_LE;200;E_CHAdeMO_100KW;E_CHAdeMO_100KW;100;2017;None;;;;;;
Honda_E;220;F_High_Charging_Combo_CCS_up_to_150_KW;DC_ISO-IEC_15118-20;100;2020;A_Type_2_7KW;6.6;IEC_61851-1;hatchback;35;;
Porsche_Taycan_Turbo;450;HPC_CCS_up_to_350_KW;DC_ISO-IEC_15118-2;270;2019;C_Type_2_22W;22;IEC_61851-1;Sedan;100;90;
Smart_ForTwo;135;None;N/A;N/A;2018;C_Type_2_22W;22;AC_ISO-IEC_15118;micro;30;18;https://www.automobile-propre.com/voitures/smart-electrique/autonomie/
Renault_Twingo_ZE;190;None;N/A;N/A;2020;C_Type_2_22W;22;IEC_61851-1;Hatchback;20;21;
Renault_Megane_eVision;450;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;130;2021;C_Type_2_22W;22;IEC_61851-1;Hatchback;;60;
