Car_model;Autonomy_WLTP_Km;DC_Charging_connector;DC_charging_protocol;DC_nominal_charge_power_KW;year;AC_Charging_connector;AC_nominal_charging;AC_Charging_Protocol;Car_type;Approx_Release_price_order_in_K$;Battery_Capacity_kWh;Source
Peugeot_iOn;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2010;0_Type_1_Mono_3KW;N/A;N/A;hatchback;30;16;
Peugeot_Partner;110;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2013;0_Type_1_Mono_3KW;N/A;N/A;Van;30;;
Porsche_Mission_E_;500;HPC_CCS_up_to_350_KW;DIN_70121;350;2019;A_Type_2_Mono_7KW;7.5;IEC_61851-1;Sedan;;;
Porsche_Taycan_Turbo;450;HPC_CCS_up_to_350_KW;DC_ISO-IEC_15118-2;270;2019;C_Type_2_Tri_22W;22;IEC_61851-1;Sedan;100;90;
Renault Fluence ZE;130;None;N/A;N/A;2016;C_Type_2_Tri_22W;22;IEC_61851-10;Sedan;;;
Renault Kangoo ZE;220;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-14;Van;;;
Renault Twizy;90;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-11;Micro;;;
Renault ZOE;200;None;N/A;N/A;2013;C_Type_2_Tri_22W;22;IEC_61851-4;;;;
Renault ZOE ;130;None;N/A;N/A;2013;C_Type_2_Tri_22W;22;IEC_61851-3;;;;
Renault ZOE ZE;400;None;N/A;N/A;2013;D_Type_2_Tri_43W;43;IEC_61851-1;hatchback;52;;
Renault_Megane_eVision;450;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;130;2021;C_Type_2_Tri_22W;22;IEC_61851-1;Hatchback;;60;
Renault_Twingo_ZE;190;None;N/A;N/A;2020;C_Type_2_Tri_22W;22;IEC_61851-1;Hatchback;20;21;
Skoda_E;500;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2019;B_Type_2_Tri_11KW;11;61851-1;SUV;40;83;
Smart ED Gen1;;None;N/A;N/A;2016;A_Type_2_Mono_7KW;7.5;IEC_61851-9;Micro;;;
Smart_ForTwo;135;None;N/A;N/A;2018;C_Type_2_Tri_22W;22;AC_ISO-IEC_15118;micro;30;18;https://www.automobile-propre.com/voitures/smart-electrique/autonomie/
Tesla model S;450;None;N/A;N/A;2016;B_Type_2_Tri_11KW;11;IEC_61851-7;;;;
Tesla_model_3;350;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2017;B_Type_2_Tri_11KW;11;61851-1;Sedan;;;
Tesla_model_X;450;E_CHAdeMO_100KW;E_CHAdeMO_100KW;50;2015;C_Type_2_Tri_22W;16.5;61851-1;SUV;100;90;
Tesla_S;450;E_CHAdeMO_100KW;E_CHAdeMO_100KW;60;2013;C_Type_2_Tri_22W;22;IEC_61851-1;Sedan;80;100;
Volvo_XC40;500;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2019;A_Type_2_Mono_7KW;3.7;61851-1;SUV;50;78;
VW_ID_Buzz;500;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2022;None;N/A;N/A;Van;;110;
VW_e-Golf;130;G_Fast_Charging_Combo_CCS_up_to_50_KW;DIN_70121;50;2016;A_Type_2_Mono_7KW;7;61851-1;hatchback;;;
VW_e-golf_1.1;230;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2017;A_Type_2_Mono_7KW;7;61851-1;Sedan;39;32;
VW_e-UP!;110;G_Fast_Charging_Combo_CCS_up_to_50_KW;DIN_70121;40;2016;A_Type_2_Mono_7KW;7;61851-1;hatchback;37;23;
VW_ID.3;330;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;100;2020;A_Type_2_Mono_7KW;7.2;IEC_61851-1;hatchback_;;77;
VW_ID.4;500;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2020;B_Type_2_Tri_11KW;11;IEC_61851-1;SUV;;77;
VW_ID_Crozz2;500;F_High_Charging_Combo_CCS_up_to_150_KW;DIN_70121;150;2019;None;N/A;N/A;SUV;83;;
